기간,자치구,계,학교교과교습학원,평생직업교육학원,열람실수
2015,합계,"1,067",863,204,"4,537"
2016,합계,"1,080",876,204,"7,532"
2017,합계,"1,133",938,195,"8,954"
2018,합계,"1,183",966,217,"9,206"
2019,합계,"1,184",963,221,"9,271"
